内容,时间,点赞,转发,评论,赞转评合计,文本长度,作者
“我知道宇宙和永恒是无限的，而我自己和一切人一样都是有限的。我非常非常不喜欢这个对比，老想把它否定掉。于是我开始去思索是否有一种比人和人类都更伟大的意义。想明白了从人的角度看来这种意义是不存在的以后，我面前就出现了一片寂寞的大海。人们所做的一切不过是些死前的游戏……”  王小波《绿毛水怪》,2023/11/26 13:07,668,166,3,837,145,王小波
“吃苦必须有收益，牺牲必须有代价。有些人认为，人必须吃一些无意义的苦、虚掷一些年华，用这种方法来达到崇高。这种想法不仅有害，而且是有病的。” 王小波《沉默的大多数》  ,2023/11/26 8:10,1323,290,11,1624,84,王小波
你绝对温存，绝对可爱，生机勃勃，全无畏惧而且自信。我从你身上感到一种永存的精神，超过平庸生活里的一切。王小波 《地久天长》  ,2023/11/25 18:29,4921,952,39,5912,63,王小波
“你自己爱干啥就干啥，首先要当个正直的人，其次要当个快乐的人。 不要过于纠结是否独自一人，努力去寻求快乐就足够了。” 王小波《黄金时代》  ,2023/11/25 13:12,2518,402,22,2942,70,王小波
“将来的我比现在好，这一点我已经有了把握。”王小波  ,2023/11/25 8:26,4464,499,35,4998,27,王小波
“如果养马只是为了吃肉，生活还索然无味到什么地步？”李娟《我的阿勒泰》  ,2023/11/24 16:42,692,102,7,801,37,李娟
人间万千光景，苦乐喜忧，跌撞起伏，除了自渡，他人爱莫能助。季羡林《悲喜自渡》  ,2023/11/24 8:19,1167,198,9,1374,40,季羡林
在科学的迷茫之处，在命运的混沌之点，人惟有乞灵于自己的精神。不管我们信仰什么，都是我们自己的精神的描述和引导。史铁生《我二十一岁那年》  ,2023/11/23 23:44,1001,145,10,1156,69,史铁生
如果我写不出温柔漂亮的句子，你能不能直接看一看我温柔的心。冯唐 《无所畏》  ,2023/11/23 20:33,3960,708,35,4703,39,冯唐
“你要爱就要像一个痴情的恋人那样去爱，像一个忘死的梦者那样去爱，视他人之疑目如盏盏鬼火，大胆去走你的夜路。”史铁生《病隙碎笔》  ,2023/11/23 16:05,4683,625,25,5333,65,史铁生
他知道，空冥的猜想可以负载任意的梦景，而实在的答案便会限定出真确的痛苦。史铁生《务虚笔记》  ,2023/11/23 12:46,1096,161,5,1262,47,史铁生
中国的孩子，只要生，不管他好不好，只要多，不管他才不才。生他的人，不负教他的责任。虽然“人口众多”这一句话，很可以闭了眼睛自负，然而这许多人口，便只在尘土中辗转，小的时候，不把他当人，大了以后，也做不了人。    鲁迅《随感录二十五》  ,2023/11/22 23:50,2924,424,70,3418,119,鲁迅
说老实话，我觉得与其骂人，宁可挨骂。因为骂人是自我表演，挨骂是看人家有意识或无意识的表演——表演他们对我的心意，而无意中流露的真情，往往是很耐人寻味的。杨绛 《将饮茶》  ,2023/11/22 8:03,974,140,25,1139,86,杨绛
人与人的交往多半肤浅，或只有在较为肤浅的层面上，交往才是容易的，一旦走进深处，人与人就是相互的迷宫。史铁生  ,2023/11/21 22:41,2361,349,17,2727,55,史铁生
“一辈子都在省着，攒着，不论多抠，钱还是没存够。一辈子都在忍着，让着，怕着，不论多小心，人还是得罪的不少。一辈子都在读着，写着，悟着，不论多聪明，亏还是没少吃。一辈子都在觉醒中，成熟中，成长中，不论多淡定，遗憾还是有。回头看，除了苍老的容颜，渐长的年龄，满腹的心酸，还有什么真正属于自己？所以想开了，什么才是生活，只有自己高兴了，那才是生活。”三毛,2023/11/21 8:00,1393,295,16,1704,174,三毛
我将向黑暗里彷徨于无地。你还想我的赠品。我能献你甚么呢？无已，则仍是黑暗和虚空而已。鲁迅《影的告别》  ,2023/11/20 22:02,653,84,6,743,52,鲁迅
譬如游山，走过了一段路之后，乘喘息未定的时候，回望来路，白云四合，当然很有意思的。倘再翘首前路，更有青霭流泛，不也增加游兴不少吗？季羡林《悲喜自渡》  ,2023/11/20 16:43,546,83,2,631,76,季羡林
我说出的每一句话，到头来都封住了我的本意。李娟《阿勒泰的角落》  ,2023/11/20 8:12,5208,575,40,5823,33,李娟
现在的社会，分不清理想与妄想的区别。再过几时，还要分不清“做不到”与“不肯做到”的区别，要将扫除庭园与劈开地球混作一谈。鲁迅《热风.随感录三十九》  ,2023/11/19 21:12,887,202,6,1095,75,鲁迅
“人一灰心便只能看到别人的错处，而不看自己的消沉堕落！” 老舍《四世同堂》  ,2023/11/19 12:47,697,103,1,801,39,老舍
如果不想得癌，少得癌，特别是女生，像乳腺癌、卵巢癌、宫颈癌啊，就一定要放开，就是要混蛋一点，内心要强大到混蛋，你得癌的机会就会少一些。冯唐  ,2023/11/19 1:04,6195,495,76,6766,71,冯唐
人的身体可以被囚禁，人的心却不可以。巴金《家》  ,2023/11/18 21:56,884,90,5,979,25,巴金
当生命以美的形式证明其价值的时候，幸福是享受，痛苦也是享受。史铁生 《好运设计》  ,2023/11/17 18:43,1298,235,7,1540,42,史铁生
当你满腹心事，渴望找人倾诉时，你会突然发现，有些人不想找，有些人不能找，还有些人你想找却不敢打扰。杨绛  ,2023/11/17 8:32,1849,239,27,2115,53,杨绛
我独处时最轻松，因为我不觉得自己乏味，即使乏味，也自己承受，不累及他人，无需感到不安。周国平  ,2023/11/16 16:29,2111,357,21,2489,48,周国平
世上的事常常使上帝的居心变得可疑。史铁生 《我与地坛》  ,2023/11/16 15:10,1522,109,10,1641,29,史铁生
人如果放弃了主动对自己的塑造，就只能被世界所塑造，被时代和环境所塑造，被他人所塑造。通常，这就被称之为：随波逐流。 半山《半山文集》  ,2023/11/16 9:17,2361,419,18,2798,68,半山
全世界都爱我，没有用，自己恨自己。邱妙津《鳄鱼手记》  ,2023/11/15 11:39,6089,791,59,6939,28,邱妙津
经历了这么多灰心丧气的日子，麻雀还在飞，我还在搬弄旧书，玫瑰还有蕾。余秀华  ,2023/11/15 9:15,6863,808,32,7703,39,余秀华
人不该太清醒，过去的事情就让它过去，不必反复咀嚼。一生不长，重要的事儿也没那么多。天亮了，又赚了。冯唐《春风十里不如你》  ,2023/11/14 21:19,1748,268,19,2035,62,冯唐
