内容,时间,点赞,转发,评论,赞转评合计,文本长度,作者
我们的社会已经开始面临严重问题，严重到忠诚、守信、孝悌、守规矩的孩子，90%到社会上会吃亏。钱文忠  ,2024/1/20 8:01,2763,237,46,3046,51,钱文忠
“最高贵的惩罚是沉默，最矜持的报复是无视。” 杨绛  ,2024/1/20 0:50,1153,177,16,1346,27,杨绛
爱情来了不要害怕，好好享受，因为它会逝去；爱情走了不要害怕，因为天下乌鸦在，男人就在；事业失败了不要害怕，因为还有新的机会，而人生是注定失败的；一无所有不要害怕，因为人都是从一无所有开始的。反正怎么都不要害怕，大不了重新再来。余秀华《无端欢喜》  ,2024/1/19 19:08,671,126,11,808,124,余秀华
要自杀的人，也会怕大海的汪洋，怕夏天死尸的易烂。但遇到澄静的清池，凉爽的秋夜，他往往也自杀了。鲁迅《小杂感》  ,2024/1/19 17:38,4349,522,34,4905,56,鲁迅
“生命是用来享受的，不是用来熬日子的。”李银河  ,2024/1/19 14:39,2105,366,28,2499,25,李银河
无论在何种困顿中，唯有内心的自由馈赠我们真正的未来。陈春成《夜晚的潜水艇》  ,2024/1/19 10:14,699,92,12,803,39,陈春成
人真的好奇怪，只有在快要死的时候，才会思考起怎么活。陆春吾《一生悬命》  ,2024/1/18 16:01,817,110,9,936,37,陆春吾
我对他说，走过去吧，那里树叶会向你招手，石头会向你微笑，河水会向你问候。那里没有贫贱也没有富贵，没有悲伤也没有疼痛，没有仇也没有恨……那里人人死而平等。他问：“那是什么地方？”我说：“死无葬身之地。”余华  ,2024/1/18 11:36,729,168,19,916,104,余华
爱不在任何结局，能爱而去爱或不能爱而不去爱这种过程，才是终极的意义。邱妙津《鳄鱼手记》  ,2024/1/18 9:33,2024,358,19,2401,45,邱妙津
如果你不诚实面对自己的感觉，自己所需要的，那么你永远无法诚实地爱别人。邱妙津《鳄鱼手记》  ,2024/1/17 17:17,2349,441,19,2809,46,邱妙津
他的话，他的誓言，他的真挚，在灯光、烛光和美酒佳肴的五彩缤纷中闪耀着光芒，更在他自己眼睛里闪烁着光芒。这光芒是美丽的、真纯的、毋庸置疑的。可是如果把它放在漫长的时间里，放在曲折复杂、充满尘污、难以预知的生活现实里，还能永葆这样的明洁与清纯吗？ 冯骥才 《多瑙河峡谷》  ,2024/1/17 10:34,483,93,6,582,135,冯骥才
但是太阳，他每时每刻都是夕阳也都是旭日。当他熄灭着走下山去收尽苍凉残照之际，正是他在另一面燃烧着爬上山巅布散烈烈朝辉之时。史铁生  ,2024/1/17 7:45,1605,188,7,1800,66,史铁生
“为什么还要给一个不值得你爱的人写信？”“或许跟这个人无关，是为了我自己的爱”邱妙津《蒙马特遗书》  ,2024/1/17 2:31,2798,351,27,3176,51,邱妙津
“这个世界，对于心态好的人，是开心肆意的天堂，只要你有想法，想怎么玩怎么玩。对于怯懦者，那就是地狱，你会觉得世界在与你为敌。你眼中的世界是什么样子，取决于你是一个什么样的人。”冯唐  ,2024/1/16 17:21,492,97,5,594,92,冯唐
告诉我。光是要去爱的动能、纯洁、忍耐和决心，够不够？够不够？邱妙津《鳄鱼手记》  ,2024/1/16 13:16,682,84,5,771,41,邱妙津
生活是由许许多多不如意的细节构成的，完美主义者都是心力交瘁的苦命人。木心  ,2024/1/16 10:18,1333,232,19,1584,38,木心 
但是二十岁上下的人，不谈恋爱尚且可做到，不向往爱情则不可能，除非心理有毛病。史铁生《我与地坛》  ,2024/1/16 8:18,5691,296,151,6138,49,史铁生
人不可以逃避苦难，亦不可以放弃希望。命运并不受贿，但希望与你同在，这才是信仰的真意，是信者的路。史铁生《病隙碎笔》  ,2024/1/15 22:28,1366,206,4,1576,59,史铁生
浪漫，就是浪费时间慢慢吃饭，浪费时间慢慢喝茶，浪费时间慢慢走，浪费时间慢慢变老。林清玄《人间有味是清欢》  ,2024/1/15 16:23,930,116,16,1062,54,林清玄
“一次又一次觉得，灵智比肉欲要性感得多。”木心《云雀叫了一整天》  ,2024/1/15 13:10,1683,204,33,1920,34,木心
我的人生理想有三：1.不工作；2.没人管；3.单身汉。木心  ,2024/1/15 9:40,5795,657,106,6558,31,木心
人最大的悲哀是失去曾经有过最大渴望的欲望。邱妙津《鳄鱼手记》  ,2024/1/15 7:55,1854,258,16,2128,32,邱妙津
无论谁再要对我讲一句重话，我就发疯了。白先勇《寂寞的十七岁》  ,2024/1/14 20:29,4015,905,58,4978,32,白先勇
死是一件不必急于求成的事，死是一个必然会降临的节日。史铁生《我与地坛》  ,2024/1/14 16:56,2503,235,19,2757,37,史铁生
“天下只有两种人。譬如一串葡萄到手，一种人挑最好的吃，另一种人把最好吃的留在最后吃。照例第一种人应该乐观，因为他每吃一颗都是吃剩的葡萄里最好的；第二种人应该悲观，因为他每吃一颗都是吃剩的葡萄里最坏的。不过事实上适得其反，缘故是第二种人还有希望，第一种人只有回忆。”钱钟书《围城》  ,2024/1/14 14:57,672,117,27,816,141,钱钟书
在不了解的状况下喜欢上一个人，却发现那个人真实的一面比你想象的还要美好，这应该算的上幸运。八月长安 《橘生淮南・暗恋》  ,2024/1/14 12:18,7450,533,127,8110,61,八月长安
我把石头还给石头让胜利的胜利今夜青稞只属于她自己一切都在生长今夜我只有美丽的戈壁 空空姐姐，今夜我不关心人类，我只想你。海子《日记》  ,2024/1/14 11:44,1545,352,26,1923,68,海子
万事万物，你若预测它的未来你就会说它有无数种可能，可你若回过头去看它的以往你就会知道其实只有一条命定之路。 史铁生《一种谜语的几种简单的猜法》  ,2024/1/13 23:46,1180,358,6,1544,73,史铁生
“我想，大话不宜讲得太早，否则，倘有记性，将来想到时会脸红。”鲁迅《导师》  ,2024/1/13 20:25,1110,109,12,1231,39,鲁迅
你洗了一个澡，你觉得很美好。你看到一朵花的盛开，你觉得很美好。你吃了一顿饭，你觉得很美好。你看到并非全因为澡洗得干净，花开得好，或者菜合你口味。而是你心无挂碍。美好的是生活吗？并不，美好的自始至终都是你自己。钱钟书  ,2024/1/13 16:48,4906,833,70,5809,109,钱钟书
我没带渔具没带沉重的疑虑和枪我带心去了我想，到空旷的海上只要说：爱你鱼群就会跟着我游向陆地。顾城《分别的海》  ,2024/1/13 13:21,581,99,7,687,56,顾城
我至今仍顽固的认为，乡下的女人，在25岁以前，她们是美好的；25岁到55岁之间，则集中了世上所有毛病一起爆发；而55岁以后，善良和慈祥又恢复上身，成了菩萨。贾平凹《我是农民》  ,2024/1/13 10:30,6275,272,137,6684,89,贾平凹
贪安稳就没有自由，要自由就总要历些危险。只有这两条路。鲁迅   二月十九日在香港青年会讲演  ,2024/1/12 11:26,1952,374,20,2346,47,鲁迅
事实上，有些崇高是人所共知的虚伪，这种东西比堕落还要坏。 王小波 《一只特立独行的猪》  ,2024/1/11 21:06,828,105,9,942,45, 王小波
“心野掉了就念不进书，就没心思干活，就只适合日复一日地坐在野地里发呆，在黄昏和夜晚的缝隙中一次又一次地消融。你就很难再回到真实的人世间，捡起上进心，努力去做一个世俗的成功者了。因为你已经知道了，在山野中，在天一点一点黑下来的时刻，一切都无关紧要。知道了就没法再不知道。”陈春成《夜晚的潜水艇》,2024/1/11 15:01,3810,1108,49,4967,146,陈春成
命运不是风来回吹，命运是大地，走到哪里你都在命中。顾城《断章》  ,2024/1/11 12:28,2179,279,16,2474,33,顾城
一个人要兴旺发达，得有一点精气神。汪曾祺  ,2024/1/11 8:01,2691,297,13,3001,22,汪曾祺 
明智的放弃，胜过盲目的执着。林语堂  ,2024/1/11 1:17,1697,259,20,1976,19,林语堂
我们两个人都病入膏肓了，像两颗荆棘互相拥抱，你渴望收容我，我也渴望被你收容，但我们各拔不掉自身上的荆棘，我们相克。邱妙津  ,2024/1/10 20:00,2016,352,29,2397,62,邱妙津
能改变自己的都是神，想改变他人的都是神经病。莫言  ,2024/1/10 17:20,15338,1992,151,17481,26,莫言  
在我看来，有些人已经疯了，有些人正在一点点死掉。按照别人要求的那样思考，谈论所有当下流行的话题，很快便掌握了网上新造的词汇，卖弄自己并不牢固的幸福，自以为是地与人辩论，虚张声势的愤怒，发自内心的卑微，一边吵闹着这是一个多么荒谬的世界，一边为这个荒谬的世界添砖加瓦，让它变得一天比一天荒谬。双雪涛《聋哑时代》,2024/1/10 15:41,1428,488,31,1947,153,双雪涛
“你这个爱情故事，好像是个悲剧”“你说的是婚姻，爱情没有悲剧”史铁生《我与地坛》  ,2024/1/10 11:29,2740,246,31,3017,42,史铁生
好好挑朋友，好好挑伙伴，好好挑对象，好好挑和你有关的人，人也有伪劣产品。朱德庸  ,2024/1/10 8:03,2034,246,18,2298,41,朱德庸
“我该如何爱你？风吹动岁月的经幡，近也不能，远也不能。” 余秀华《月光落在左手上》  ,2024/1/9 22:20,2855,383,20,3258,43,余秀华
“在一起时恩恩义义，分开时潇潇洒洒。”汪曾祺《八千岁》  ,2024/1/9 16:49,2352,272,11,2635,29,汪曾祺
中国人从不爱中国人，但却很爱国。爱人是需要投入情感，付出时间精力、经济成本的，爱国只需付出口水。胡适  ,2024/1/9 12:55,48030,2309,1630,51969,52,胡适
且视他人之疑目如盏盏鬼火，大胆地去走你的夜路。史铁生《病隙碎笔》  ,2024/1/9 11:05,2407,287,19,2713,34,史铁生
我爱你的方式，一直都是任自己被你打败。邱妙津《蒙马特遗书》  ,2024/1/9 8:03,1777,290,18,2085,31,邱妙津
所有伤害你的人，都是故意的，他在伤害你的时候就已权衡利弊，他会不断的对比，最后选择了伤害你。莫言  ,2024/1/8 22:32,3886,719,54,4659,50,莫言
“那路途中的一切，有些与我擦肩而过从此天各一方，有些便永久驻进我的心魂，雕琢我，塑造我，锤炼我，融入我而成为我。”史铁生《病隙碎笔》  ,2024/1/8 16:51,3963,546,14,4523,68,史铁生
爱就像语言，闻者不闻，言者还是哑巴。史铁生  《病隙碎笔》  ,2024/1/8 14:34,2340,224,7,2571,31,史铁生
差不多每年的十二月下旬到一月中旬总会是冬天里最难熬的日子，无可躲避。再往后，随着白昼的变长，气温总会渐渐缓过来。一切总会过去的。是的，“一切总会过去”。人之所以能够感到“幸福”，不是因为生活得舒适，而是因为生活得有希望。李娟  ,2024/1/8 7:39,915,238,12,1165,114,李娟
我也有过欲望的盛年有过身心俱裂的许多夜晚但是我从未放逐过自己                                         余秀华《给你》  ,2024/1/7 23:01,1289,136,14,1439,80,余秀华
人生三个基本目标：不作恶，开心，自己养活自己。如果能达到，就是很好的一生了。冯唐  ,2024/1/7 10:54,2219,321,31,2571,42,冯唐
愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火般，也可以在黑暗里发一点光，不必等候炬火。鲁迅《热风》  ,2024/1/7 10:14,830,121,16,967,86,鲁迅
“情种只生在大富之家。”老舍《骆驼祥子》  ,2024/1/7 8:15,5473,318,86,5877,22,老舍
“重要的是，有一个健康的身体、一颗感知清风明月的心和跟人说话时不会躲闪的眼神。”韩梅梅《今天的我有点热爱生活》  ,2024/1/7 0:34,3183,459,25,3667,57,韩梅梅
何必这样的奔逃呢，前路也是在下着雨。施蛰存《梅雨之夕》  ,2024/1/6 19:55,4163,913,39,5115,29,施蛰存
语言达不到的地方，就是爱情的栖息之地。所有说得出来的爱，都是表面的。一个人心里犹犹豫豫，脚步却狂奔过去的人，那就是真爱了。梁永安  ,2024/1/6 17:34,1535,265,10,1810,66,梁永安
汪小姐说，有一种女人，开口就谈情调，谈巴黎，谈吃茶，谈人生，这是十三点。开口闭口谈小囡，奶瓶，尿布，打预防针，标准十三点。一开口，就是老公长，老公短，这是妖怪。 金宇澄《繁花》  ,2024/1/6 16:24,1594,190,64,1848,90,金宇澄
每个人的童年都有一个严肃的结尾，大约都是突然面对了一个严峻的事实，再不能睡一宿觉就把它忘掉，事后你发现，童年不复存在了。史铁生  ,2024/1/6 10:22,2831,354,23,3208,65,史铁生
你挺悲观的，但是不彻底，所以才拧巴。   冯唐《万物生长》  ,2024/1/6 0:27,9597,1392,82,11071,31,冯唐
真正的爱情不应该是利己的，而应该是利他的。你有没有决心为Ta而作出自己的最大牺牲，这是衡量是不是真正爱情的标准，否则就是被自己的感情所欺骗。路遥《平凡的世界》  ,2024/1/5 20:45,602,93,35,730,81,路遥
